,Y,time,xpos
128,-0.0009575421239560175,0.1024,
129,-0.0004774821239560174,0.1032,
130,0.0001625978760439821,0.104,
131,0.0006426578760439829,0.1048,
132,0.0009626978760439818,0.1056,
133,0.0011401786452747342,0.1064,
134,0.0012827378760439825,0.1072,
135,0.0012827378760439825,0.108,
136,0.0012827378760439825,0.1088,
137,0.0009626978760439818,0.1096,
138,0.0012827378760439825,0.1104,
139,0.0009626978760439818,0.1112,
140,0.0009452371068132298,0.112,
141,0.0011227178760439822,0.1128,
142,0.00048263787604398275,0.1136,
143,-0.0001574421239560176,0.1144,
144,-0.0004774821239560174,0.1152,
145,-0.0006549628931867697,0.116,
146,-0.0006375021239560177,0.1168,
147,-0.0011175621239560177,0.1176,
148,-0.001277582123956018,0.1184,
149,-0.0011175621239560177,0.1192,
150,-0.0011175621239560177,0.12,
151,-0.0011175621239560177,0.1208,
152,-0.0011175621239560177,0.1216,
153,-0.0009575421239560175,0.1224,
154,-0.0004774821239560174,0.1232,
155,0.0001625978760439821,0.124,
156,0.0006426578760439829,0.1248,
157,0.0009626978760439818,0.1256,
158,0.0011227178760439822,0.1264,
159,0.0012827378760439825,0.1272,
160,0.0014427578760439826,0.128,
161,0.0014427578760439826,0.1288,
162,0.0011227178760439822,0.1296,
163,0.0009626978760439818,0.1304,
164,0.0009626978760439818,0.1312,
165,0.0009452371068132298,0.132,
166,0.0007852171068132298,0.1328,
167,0.00032261787604398245,0.1336,
168,2.577876043982678e-06,0.1344,
169,-0.0004774821239560174,0.1352,
170,-0.0007975221239560179,0.136,
171,-0.001277582123956018,0.1368,
172,-0.0011175621239560177,0.1376,
173,-0.0011175621239560177,0.1384,
174,-0.001277582123956018,0.1392,
175,-0.001277582123956018,0.14,
176,-0.0014376021239560174,0.1408,
177,-0.0014376021239560174,0.1416,
178,-0.001277582123956018,0.1424,
179,-0.0007975221239560179,0.1432,
180,-0.0001574421239560176,0.144,
181,0.00032261787604398245,0.1448,
182,0.0006426578760439829,0.1456,
183,0.0008026778760439816,0.1464,
184,0.0009626978760439818,0.1472,
185,0.0011227178760439822,0.148,
186,0.0011227178760439822,0.1488,
187,0.0011227178760439822,0.1496,
188,0.0011227178760439822,0.1504,
189,0.0008026778760439816,0.1512,
190,0.0009626978760439818,0.152,
191,0.00048263787604398275,0.1528,
192,2.577876043982678e-06,0.1536,
193,-0.00017490289318676964,0.1544,
194,-0.0009575421239560175,0.1552,
195,-0.0011175621239560177,0.156,
196,-0.0009575421239560175,0.1568,
197,-0.0011175621239560177,0.1576,
198,-0.0011175621239560177,0.1584,
199,-0.001277582123956018,0.1592,
200,-0.001277582123956018,0.16,
201,-0.0014376021239560174,0.1608,
202,-0.001277582123956018,0.1616,
203,-0.0011175621239560177,0.1624,
204,-0.0006375021239560177,0.1632,
205,2.0038645274734606e-05,0.164,
206,0.00048263787604398275,0.1648,
207,0.0008026778760439816,0.1656,
208,0.0009801586452747339,0.1664,
209,0.0011227178760439822,0.1672,
210,0.0012827378760439825,0.168,
211,0.0012827378760439825,0.1688,
212,0.0012827378760439825,0.1696,
213,0.0011227178760439822,0.1704,
214,0.0011227178760439822,0.1712,
